G:\3000.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	 7	1A1C	 24	     7709	59,7
 2	P	 2	 7	1A1C	 25	     8104	59,6
 2	P	 2	 7	1A1C	 26	     8501	59,7
 2	P	 2	 7	1A1C	 27	     9479	59,7
 2	P	 2	 7	1A1C	 28	    11154	59,7
 2	P	 2	 7	1A1C	 29	    14205	59,7
 2	P	 2	 7	1A1C	 30	    18557	59,7
 2	P	 2	 7	1A1C	 31	    23928	59,7
 2	P	 2	 7	1A1C	 32	    29214	59,7
 2	P	 2	 7	1A1C	 33	    33918	59,7
 2	P	 2	 7	1A1C	 34	    37757	59,7
 2	P	 2	 7	1A1C	 35	    40299	59,7
 2	P	 2	 7	1A1C	 36	    42258	59,7
 2	P	 2	 7	1A1C	 37	    43718	59,6
 2	P	 2	 7	1A1C	 38	    44164	59,7
 2	P	 2	 7	1A1C	 39	    44533	59,7
 2	P	 2	 7	1A1C	 40	    45008	59,7
 2	P	 2	 8	1A1C	  1	     7538	59,6
 2	P	 2	 8	1A1C	  2	     7483	59,6
 2	P	 2	 8	1A1C	  3	     7517	59,7
 2	P	 2	 8	1A1C	  4	     7463	59,6
 2	P	 2	 8	1A1C	  5	     7421	59,7
 2	P	 2	 8	1A1C	  6	     7440	59,7
 2	P	 2	 8	1A1C	  7	     7397	59,7
 2	P	 2	 8	1A1C	  8	     7352	59,7
 2	P	 2	 8	1A1C	  9	     7279	59,7
 2	P	 2	 8	1A1C	 10	     7362	59,7
 2	P	 2	 8	1A1C	 11	     7289	59,7
 2	P	 2	 8	1A1C	 12	     7406	59,7
 2	P	 2	 8	1A1C	 13	     7339	59,7
 2	P	 2	 8	1A1C	 14	     7422	59,7
 2	P	 2	 8	1A1C	 15	     7349	59,7
 2	P	 2	 8	1A1C	 16	     7325	59,7
 2	P	 2	 8	1A1C	 17	     7256	59,7
 2	P	 2	 8	1A1C	 18	     7401	59,7
 2	P	 2	 8	1A1C	 19	     7218	59,7
 2	P	 2	 8	1A1C	 20	     7375	59,7
 2	P	 2	 8	1A1C	 21	     7351	59,7
 2	P	 2	 8	1A1C	 22	     7358	59,7
 2	P	 2	 8	1A1C	 23	     7407	59,7
 2	P	 2	 8	1A1C	 24	     7560	59,7
 2	P	 2	 8	1A1C	 25	     7843	59,6
 2	P	 2	 8	1A1C	 26	     8261	59,7
 2	P	 2	 8	1A1C	 27	     9229	59,7
 2	P	 2	 8	1A1C	 28	    10677	59,7
 2	P	 2	 8	1A1C	 29	    13565	59,7
 2	P	 2	 8	1A1C	 30	    17678	59,7
 2	P	 2	 8	1A1C	 31	    23061	59,7
 2	P	 2	 8	1A1C	 32	    27991	59,7
 2	P	 2	 8	1A1C	 33	    32334	59,7
 2	P	 2	 8	1A1C	 34	    35733	59,7
 2	P	 2	 8	1A1C	 35	    38240	59,7
 2	P	 2	 8	1A1C	 36	    40089	59,7
 2	P	 2	 8	1A1C	 37	    41459	59,6
 2	P	 2	 8	1A1C	 38	    41962	59,7
 2	P	 2	 8	1A1C	 39	    42776	59,7
 2	P	 2	 8	1A1C	 40	    43456	59,7
 2	P	 2	 9	1A1C	  1	     7352	59,6
 2	P	 2	 9	1A1C	  2	     7421	59,6
 2	P	 2	 9	1A1C	  3	     7396	59,7
 2	P	 2	 9	1A1C	  4	     7313	59,6
 2	P	 2	 9	1A1C	  5	     7339	59,7
 2	P	 2	 9	1A1C	  6	     7369	59,7
 2	P	 2	 9	1A1C	  7	     7340	59,7
 2	P	 2	 9	1A1C	  8	     7222	59,7
 2	P	 2	 9	1A1C	  9	     7219	59,7
